Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,10932.99,11168,10800.93,11089,2275.012927,00:00.0,24940767.15,29283,1092.417125,11988604.02,0
00:00.0,11089,11251,10842.69,10985,2809.370415,00:00.0,31062345.44,30724,1249.296975,13812756.04,0
00:00.0,10985,11400,10963,11243.68,3227.164669,00:00.0,36220181.17,33428,1568.242327,17612615.92,0
00:00.0,11243.68,11349,10900,11020,3153.964215,00:00.0,35181176.61,34567,1397.829449,15607455.56,0
00:00.0,11018,11495,10968.18,11464.97,3418.74189,00:00.0,38280470.84,35988,1855.920542,20812583.48,0
00:00.0,11452.62,11625,11360,11505.17,3423.997781,00:00.0,39301716.51,41807,1881.63979,21597819.32,0
00:00.0,11505.1,11650,11400,11491,2827.529375,00:00.0,32617308.97,30964,1256.00888,14492661.47,0
00:00.0,11499.98,11620,11408,11592.93,2108.36326,00:00.0,24305895.55,27107,969.130046,11180571.35,0
00:00.0,11592.93,12244,11581.85,11969,5107.716548,00:00.0,61051164.59,55220,2331.661749,27829907.13,0
00:00.0,11969,12067.99,11818,12012.62,2844.871366,00:00.0,33959050.27,35348,1147.898228,13705370.85,0
00:00.0,12001.94,12079.9,11652,11791.12,3154.966153,00:00.0,37312751.02,39835,1305.713083,15438379.24,0
00:00.0,11793,11925,11750,11870,1837.889383,00:00.0,21723130.26,22076,841.738081,9955037.98,0
00:00.0,11870,11999.98,11804.8,11879.95,1833.532814,00:00.0,21859591.26,26661,746.64581,8901747.286,0
00:00.0,11879.95,11975.02,11433,11598.98,3934.339324,00:00.0,45697246.88,40860,1588.137357,18441550.01,0
00:00.0,11598.98,11739.08,11273,11318.01,2856.960998,00:00.0,32807306.19,32898,1265.19035,14528705.04,0
00:00.0,11320,11528,11139.55,11279.99,2467.459034,00:00.0,27994742.63,30397,1044.784018,11854234.03,0
00:00.0,11272.01,11445,11202.82,11383.91,1923.313562,00:00.0,21774463.09,25293,747.695956,8462516.739,0
00:00.0,11383.91,11499,11270.01,11283.81,1578.50684,00:00.0,17962759.71,20363,740.818459,8433156.345,0
00:00.0,11280.83,11410,11150,11251,1409.79778,00:00.0,15873636.38,19388,629.870731,7099810.355,0
00:00.0,11250.11,11308.42,10850,10995.06,2809.958431,00:00.0,31007347.34,32536,1154.175341,12741698.16,0
00:00.0,10993.07,11138.43,10929.06,11118.99,1711.54317,00:00.0,18921672.25,22001,835.084656,9230291.752,0
00:00.0,11119,11210.57,10900,11047.34,1938.46676,00:00.0,21381045.2,22845,860.252574,9492828.033,0
00:00.0,11050.34,11096,10206.25,10323.02,6059.050974,00:00.0,64071546.44,54317,2696.465204,28463635.01,0
00:00.0,10323.25,10600,9900,10399.99,8297.447265,00:00.0,84660617.58,78177,3823.883416,39085497.36,0
00:00.0,10380,10565.84,10095.31,10237.51,4737.906346,00:00.0,48936100.71,49336,2018.235228,20850338.76,0
